CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,06/16/2024 02:00:00 PM,24-909196,ATTEMPT VEHICLE THEFT-AUTO,24X,2120 ROSEDALE AVE,Oakland,CA,POINT (-122.210952967 37.779502989)
VANDALISM,07/09/2024 11:18:00 PM,24-034322,MALICIOUSLY DESTROY OTHER'S PROPERTY,27X,2536 HIGH ST,Oakland,CA,POINT (-122.20468104 37.781619)
,08/07/2024 07:00:00 PM,24-039486,VEHICLE THEFT - AUTO,22X,3778 39TH AV,Oakland,CA,POINT (-122.194186981 37.791082001)
,07/02/2024 02:02:00 PM,24-032932,THEFT,21Y,2905 BONA ST,Oakland,CA,POINT (-122.219062961 37.792257018)
DOMESTIC VIOLENCE,07/14/2024 02:00:00 PM,24-035124,VANDALISM,22X,3737 COOLIDGE AV,Oakland,CA,POINT (-122.207085976 37.800463991)
ROBBERY,06/06/2024 09:48:00 PM,24-028108,CARJACKING WITH FIREARM,27Y,5725 E 17TH ST,Oakland,CA,POINT (-122.198726033 37.767405011)
,06/20/2024 01:43:00 AM,24-030582,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,11X,5500 TELEGRAPH AVENUE,Oakland,CA,POINT (-122.261556025 37.840422996)
,07/07/2024 09:13:00 PM,24-033942,POSS STOLEN VEH/VES/ETC,23X,35TH AVE AND GRAY ST.,Oakland,CA,POINT (-122.215274005 37.785111991)
STOLEN VEHICLE,05/24/2024 01:00:00 AM,24-025571,VEHICLE THEFT - AUTO,13Z,6201 ANTIOCH ST,Oakland,CA,POINT (-122.208786999 37.826163996)
ROBBERY,07/05/2024 01:12:00 PM,24-033447,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17Y,E 34TH ST & ELLIOT ST,Oakland,CA,POINT (-122.233903037 37.802824)
STOLEN VEHICLE,05/27/2024 10:00:00 PM,24-026296,VEHICLE THEFT - AUTO,25X,4732 FAIR AV,Oakland,CA,POINT (-122.183782022 37.786560006)
,07/16/2024 04:15:00 PM,24-035685,BATTERY,04X,2300 WEBSTER ST,Oakland,CA,POINT (-122.265045998 37.812118986)
,07/27/2024 08:19:00 PM,24-037585,BATTERY,31X,566 HEGENBERGER RD,Oakland,CA,POINT (-122.195509981 37.744888998)
,06/29/2024 12:50:00 AM,24-911309,BURGLARY-AUTO,,66TH ST,Oakland,CA,POINT (-122.262071542 37.85179042)
STOLEN VEHICLE,05/17/2024 11:00:00 PM,24-024581,VEHICLE THEFT - AUTO,04X,1401 JACKSON ST,Oakland,CA,POINT (-122.265260319 37.802075175)
PETTY THEFT,06/27/2024 03:00:00 AM,24-032219,THEFT,15X,2909 PARK BLVD,Oakland,CA,POINT (-122.238460026 37.80307399)
DOMESTIC VIOLENCE,08/05/2024 11:20:00 PM,24-039038,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,01X,180 2ND ST,Oakland,CA,POINT (-122.269602987 37.793841994)
,06/10/2024 06:20:00 PM,24-908617,BURGLARY-AUTO,31Y,540 HEGENBERGER ROAD,Oakland,CA,POINT (-122.195706033 37.744225989)
ROBBERY,06/08/2024 07:40:00 AM,24-028304,ATTEMPTED ROBBERY-FIREARM,01X,200 JEFFERSON ST,Oakland,CA,POINT (-122.279865473 37.797511391)
STOLEN VEHICLE,05/26/2024 09:45:00 AM,24-026097,VEHICLE THEFT - AUTO,12Y,5660 COLLEGE AV,Oakland,CA,POINT (-122.251478966 37.843943982)
,06/26/2024 01:15:00 AM,24-031813,VEHICLE THEFT - AUTO,14Y,536 LAKE PARK AVE,Oakland,CA,POINT (-122.246623271 37.810242135)
MISDEMEANOR ASSAULT,05/16/2024 02:30:00 PM,24-024144,BATTERY,34X,9304 SUNNYSIDE ST,Oakland,CA,POINT (-122.165114014 37.751482999)
,07/12/2024 07:53:00 AM,24-034724,SC UNEXPLAINED DEATH,19X,499 EMBARCADERO,Oakland,CA,POINT (-122.261789042 37.789251016)
STOLEN VEHICLE,05/24/2024 12:37:00 PM,24-034253,VEHICLE THEFT - AUTO,33X,8000 SAN LEANDRO ST,Oakland,CA,POINT (-122.192399957 37.749883698)
,06/30/2024 03:22:00 PM,24-911311,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,,EAST 29TH ST,Oakland,CA,POINT (-122.218386886 37.791623402)
,06/09/2024 11:49:00 AM,24-028490,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,14X,230 BAY PL,Oakland,CA,POINT (-122.260699981 37.813011994)
STOLEN VEHICLE,05/31/2024 02:10:00 AM,24-026904,VEHICLE THEFT - AUTO,25X,4653 DAVENPORT AV,Oakland,CA,POINT (-122.183912025 37.788294013)
STOLEN VEHICLE,05/23/2024 11:16:00 PM,24-025816,VEHICLE THEFT - AUTO,24Y,2619 HIGH ST,Oakland,CA,POINT (-122.203992969 37.782960985)
,05/24/2024 12:40:00 AM,24-908826,VANDALISM,31Y,696 LOUISIANA ST,Oakland,CA,POINT (-122.186130966 37.739809019)
,05/22/2024 07:15:00 PM,24-909117,VANDALISM,03Y,948 CLAY ST,Oakland,CA,POINT (-122.274838994 37.801934009)
BURG - AUTO,07/17/2024 09:50:00 PM,24-910659,BURGLARY-AUTO,08X,2302 VALDEZ ST,Oakland,CA,POINT (-122.263825006 37.811989988)
FELONY ASSAULT,05/24/2024 06:14:00 PM,24-025781,BATTERY W/SERIOUS BODILY INJURY,06X,BROCKHURST ST & SAN PABLO AV,Oakland,CA,POINT (-122.277535034 37.823600014)
ROBBERY,06/04/2024 12:00:00 PM,24-027669,CARJACKING WITH FIREARM,25Y,5810 BALMORAL DR,Oakland,CA,POINT (-122.16715702 37.802962008)
,06/04/2024 04:03:00 PM,24-027672,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,17X,1300 E 17TH ST,Oakland,CA,POINT (-122.244337495 37.79183238)
WEAPONS,07/23/2024 05:52:00 PM,24-036704,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,29X,2927 HAVENSCOURT BLVD,Oakland,CA,POINT (-122.181918976 37.770945988)
DOMESTIC VIOLENCE,06/24/2024 12:12:00 AM,24-031270,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,18Y,2130 17TH AV,Oakland,CA,POINT (-122.237963598 37.793003007)
,06/10/2024 05:38:00 PM,24-028889,VEHICLE THEFT - AUTO,13X,5836 BUENA VISTA AV,Oakland,CA,POINT (-122.236463037 37.847207015)
STOLEN VEHICLE,06/19/2024 04:30:00 PM,24-030591,VEHICLE THEFT - AUTO,09X,3823 HARRISON ST,Oakland,CA,POINT (-122.251409982 37.821601014)
ROBBERY,06/22/2024 10:30:00 PM,24-031114,ROBBERY-FIREARM,26Y,7628 RUDSDALE ST,Oakland,CA,POINT (-122.186805039 37.756137009)
,05/15/2024 08:30:00 AM,24-907505,BURGLARY-AUTO,04X,360 14TH ST,Oakland,CA,POINT (-122.269019719 37.803536112)
STOLEN VEHICLE,05/24/2024 09:00:00 AM,24-029371,VEHICLE THEFT - AUTO,34X,8500 HOLLY ST,Oakland,CA,POINT (-122.175295743 37.753906181)
,08/10/2024 04:00:00 AM,24-039977,THEFT,14X,520 VAN BUREN AVE,Oakland,CA,POINT (-122.251011004 37.811692011)
BURG - RESIDENTIAL,05/21/2024 07:45:00 PM,24-025171,BURGLARY-FORCIBLE ENTRY,13Z,93 HOME GLEN LN,Oakland,CA,POINT (-122.195165987 37.837267)
,06/19/2024 03:58:00 AM,24-030429,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,634 15TH ST,Oakland,CA,POINT (-122.275036975 37.80692099)
