CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,05/27/2024 02:50:00 AM,24-026027,BURGLARY-FORCIBLE ENTRY,12Y,5211 BROADWAY,Oakland,CA,POINT (-122.251798987 37.83599798)
,07/28/2024 12:45:00 AM,24-911600,VANDALISM,13X,256 FLORENCE AVE,Oakland,CA,POINT (-122.229159969 37.840329999)
BURG - OTHER,06/16/2024 09:02:00 AM,24-029975,BURGLARY-FORCIBLE ENTRY,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.232758991 37.779350019)
BURG - AUTO,06/27/2024 11:00:00 PM,24-911206,BURGLARY-AUTO,04X,1800 SAN PABLO AV,Oakland,CA,POINT (-122.27218696 37.808049991)
FELONY ASSAULT,06/20/2024 10:03:00 AM,24-030616,THROW SUB AT VEH:INT:GBI,30X,7900 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.182549141 37.757169135)
STOLEN VEHICLE,07/26/2024 10:00:00 PM,24-037495,VEHICLE THEFT - AUTO,29X,2819 62ND AV,Oakland,CA,POINT (-122.186441013 37.771489009)
,06/17/2024 07:00:00 PM,24-030255,MAYHEM,07X,3400 BLOCK OF ADELINE ST,Oakland,CA,POINT (-122.280163514 37.825835656)
,07/14/2024 01:53:00 PM,24-035034,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,5701 BANCROFT AVE,Oakland,CA,POINT (-122.194224242 37.771183545)
GRAND THEFT,05/20/2024 04:18:00 PM,24-024930,GRAND THEFT,26Y,1274 76TH AV,Oakland,CA,POINT (-122.185944972 37.757169994)
BURG - AUTO,05/21/2024 06:50:00 PM,24-908294,BURGLARY-AUTO,19X,219 9TH AV,Oakland,CA,POINT (-122.257008004 37.78763201)
VANDALISM,06/15/2024 10:27:00 AM,24-029774,VANDALISM,25X,4040 QUIGLEY ST,Oakland,CA,POINT (-122.197818021 37.788276997)
,05/26/2024 01:45:00 PM,24-908444,THEFT,12Y,5500 TELEGRAPH AVE,Oakland,CA,POINT (-122.261556025 37.840422996)
STOLEN VEHICLE,05/26/2024 04:58:00 AM,24-025901,VEHICLE THEFT - AUTO,10Y,4117 WEST ST,Oakland,CA,POINT (-122.271023971 37.831454988)
STOLEN VEHICLE,05/20/2024 05:00:00 PM,24-025071,VEHICLE THEFT - AUTO,08X,180 GRAND AV,Oakland,CA,POINT (-122.262805012 37.811329997)
,06/06/2024 11:45:00 PM,24-028257,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14Y,3500 GRAND AVE.,Oakland,CA,POINT (-122.245770973 37.814180012)
STOLEN VEHICLE,06/26/2024 06:25:00 PM,24-031944,VEHICLE THEFT - AUTO,19X,1434 1ST AV,Oakland,CA,POINT (-122.256495032 37.798954997)
,06/01/2024 11:30:00 AM,24-908708,BURGLARY-AUTO,,520 20TH ST,Oakland,CA,POINT (-122.270170984 37.809720301)
,07/26/2024 09:23:00 AM,24-037188,BATTERY W/SERIOUS BODILY INJURY,23X,3922 E 12TH ST,Oakland,CA,POINT (-122.21903273 37.772863005)
,06/28/2024 09:30:00 AM,24-911255,BURGLARY-NO FORCE,14Y,601 JEAN ST,Oakland,CA,POINT (-122.247784977 37.817989)
,05/23/2024 05:28:00 PM,24-025495,BATTERY,02X,800 MARKET ST,Oakland,CA,POINT (-122.282182966 37.80317298)
,06/10/2024 06:53:00 PM,24-909989,THEFT,31X,449 HEGENBERGER ROAD,Oakland,CA,POINT (-122.197507975 37.736640995)
MISDEMEANOR ASSAULT,06/24/2024 08:00:00 PM,24-031612,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35X,90TH AV & BANCROFT AV,Oakland,CA,POINT (-122.165601003 37.753646997)
,05/19/2024 06:00:00 PM,24-025244,VEHICLE THEFT - AUTO,09X,IFO 3275 PERALTA ST,Oakland,CA,POINT (-122.283547037 37.825473998)
STOLEN VEHICLE,06/09/2024 05:00:00 PM,24-028630,VEHICLE THEFT - AUTO,30X,1801 70TH AV,Oakland,CA,POINT (-122.185445997 37.763174999)
,07/26/2024 09:30:00 AM,24-910965,BURGLARY-AUTO,,2777 MIDDLE HARBOUR PARK ROAD,Oakland,CA,POINT (-122.306098162 37.799151139)
,05/23/2024 03:00:00 AM,24-909642,THEFT,02X,926 UNION ST,Oakland,CA,POINT (-122.289355026 37.80654699)
,06/17/2024 05:00:00 PM,24-030183,ROBBERY-OTHER DANGEROUS WEAPON,06X,2200 MARTIN LUTHER KING JR. WAY,Oakland,CA,POINT (-122.272616653 37.812789441)
STOLEN VEHICLE,05/26/2024 09:30:00 PM,24-026129,VEHICLE THEFT - AUTO,17Y,2358 PARK BLVD,Oakland,CA,POINT (-122.243919998 37.801619017)
,06/06/2024 08:00:00 PM,24-028089,VEHICLE THEFT - AUTO,22X,3860 HANLY RD,Oakland,CA,POINT (-122.215580029 37.805121982)
,07/03/2024 09:10:00 PM,24-910548,BURGLARY-AUTO,03Y,818 JEFFERSON ST,Oakland,CA,POINT (-122.276834977 37.801823997)
,08/11/2024 10:00:00 AM,24-040128,THEFT,16X,E 8TH AND 10TH AV,Oakland,CA,POINT (-122.252258985 37.790165985)
STOLEN VEHICLE,05/30/2024 05:02:00 AM,24-026784,VEHICLE THEFT - AUTO,27Y,5950 E 17TH ST,Oakland,CA,POINT (-122.196349009 37.765939016)
,06/01/2024 12:00:00 AM,24-034942,PETTY THEFT:$50-,01X,PARKING GARAGE OF 255 HARRISON ST,Oakland,CA,POINT (-122.272639668 37.795030101)
STOLEN VEHICLE,06/30/2024 10:00:00 PM,24-034051,VEHICLE THEFT - AUTO,31Y,9859 EDES AV,Oakland,CA,POINT (-122.182039005 37.735911015)
,07/01/2024 09:45:00 PM,24-911490,VANDALISM,31Y,451 HEGENBERGER,Oakland,CA,POINT (-122.197289039 37.737543014)
,06/27/2024 12:40:00 PM,24-910477,THEFT,14X,445 BELLEVUE AVE,Oakland,CA,POINT (-122.252986032 37.809124006)
RECOVERED O/S STOLEN,07/25/2024 10:13:00 PM,24-037125,POSS STOLEN VEH/VES/ETC,23X,FRUITVALE AV & E 9TH ST,Oakland,CA,POINT (-122.22788198 37.773482016)
STOLEN VEHICLE,07/13/2024 09:30:00 AM,24-034940,VEHICLE THEFT - AUTO,23X,4000 ALAMEDA AV,Oakland,CA,POINT (-122.223908958 37.769720008)
,07/09/2024 04:00:00 AM,24-034203,VEHICLE THEFT - AUTO,19X,1612 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.24397148 37.788277181)
ROBBERY,08/03/2024 02:35:00 PM,24-038645,ROBBERY-FIREARM,11X,5635 SHATTUCK AV,Oakland,CA,POINT (-122.265047004 37.841776003)
,05/20/2024 07:10:00 PM,24-025498,ASSAULT WITH FIREARM ON PERSON,31Y,9800 BERNHARDT DR,Oakland,CA,POINT (-122.186609992 37.731970012)
BURG - RESIDENTIAL,07/07/2024 12:46:00 AM,24-033806,ATTEMPTED BURGLARY,22X,3525 DIMOND AV,Oakland,CA,POINT (-122.217560002 37.801391994)
VANDALISM,05/20/2024 12:16:00 AM,24-024809,VANDALISM,20X,3000 E 9TH ST,Oakland,CA,POINT (-122.231181093 37.774609454)
,07/13/2024 07:10:00 PM,24-910865,GRAND THEFT,31X,285 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198703989 37.733352984)
,06/20/2024 11:45:00 AM,24-910979,ATTEMPT VEHICLE THEFT-AUTO,23X,1665 35TH AVE,Oakland,CA,POINT (-122.220671029 37.780296001)
STOLEN VEHICLE,06/03/2024 07:00:00 AM,24-027429,VEHICLE THEFT - AUTO,35X,90TH AV & HILLSIDE ST,Oakland,CA,POINT (-122.163090958 37.754804999)
,06/04/2024 10:25:00 AM,24-027625,SC UNEXPLAINED DEATH,25Y,750 CANYON OAKS DR,Oakland,CA,POINT (-122.145017983 37.774906982)
,06/03/2024 11:14:00 AM,24-027440,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,1749 69TH AV,Oakland,CA,POINT (-122.186354009 37.763555999)
,06/27/2024 03:01:00 PM,24-911321,THEFT BY USE OF ACCESS CARD,,CLEVELAND AVE,Oakland,CA,POINT (-122.307180978 37.888389233)
,07/03/2024 09:48:00 PM,24-033159,VEHICLE THEFT - AUTO,25X,4311 REINHARDT DR,Oakland,CA,POINT (-122.184539997 37.792943999)
MISDEMEANOR ASSAULT,07/23/2024 08:00:00 AM,24-036676,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,10X,1089 57TH ST,Oakland,CA,POINT (-122.282165029 37.840247982)
MISDEMEANOR ASSAULT,07/12/2024 07:35:00 PM,24-034850,VANDALISM:DAMAGE PROPERTY,17Y,2501 IVY DR,Oakland,CA,POINT (-122.241938013 37.801698017)
,06/01/2024 12:00:00 AM,24-910805,BURGLARY-AUTO,16Y,1370 BARROWS ROAD,Oakland,CA,POINT (-122.227062984 37.807913994)
,06/04/2024 01:16:00 PM,24-027647,VEHICLE THEFT - AUTO,03Y,11TH ST&MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.277257006 37.804134007)
,06/05/2024 09:00:00 AM,24-027791,BURGLARY-AUTO,16X,3220 LAKESHORE AV,Oakland,CA,POINT (-122.245172702 37.81030318)
MISDEMEANOR ASSAULT,05/18/2024 03:55:00 AM,24-024512,EXHIBIT FIREARM,30X,2662 67TH AV,Oakland,CA,POINT (-122.182496992 37.767774988)
FORCIBLE RAPE,06/25/2024 05:46:00 PM,24-031769,RAPE BY FORCE/FEAR/ETC,31Y,600 HEGENBERGER RD,Oakland,CA,POINT (-122.195677032 37.74571801)
PETTY THEFT,07/12/2024 07:45:00 PM,24-034924,THEFT,34X,2000 89TH AV,Oakland,CA,POINT (-122.167859004 37.753385984)
,07/19/2024 03:40:00 PM,24-036310,VEHICLE THEFT - AUTO,19X,1800 SOLANO WY,Oakland,CA,POINT (-122.242280156 37.786633162)
FELONY ASSAULT,05/28/2024 12:21:00 PM,24-026306,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,10X,5944 SAN PABLO AV,Oakland,CA,POINT (-122.283392978 37.842888994)
,05/27/2024 02:15:00 AM,24-026044,BURGLARY-FORCIBLE ENTRY,05Y,2101 MANDELA PKWY,Oakland,CA,POINT (-122.290167987 37.815866996)
MISDEMEANOR ASSAULT,05/19/2024 02:40:00 AM,24-025386,BATTERY,26X,5597 OAKPORT ST,Oakland,CA,POINT (-122.214691966 37.75874399)
,07/18/2024 07:00:00 PM,24-910732,BURGLARY-AUTO,04X,1830 WEBSTER ST,Oakland,CA,POINT (-122.266442004 37.806601011)
,08/05/2024 12:00:00 AM,24-038993,THREAT CRIME:INT:TERRORIZE,04X,1734 WEBSTER ST,Oakland,CA,POINT (-122.266675021 37.806106982)
DOMESTIC VIOLENCE,07/09/2024 01:40:00 PM,24-034226,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14X,GRAND AV & STATEN AV,Oakland,CA,POINT (-122.253813996 37.80877402)
,06/02/2024 06:08:00 PM,24-027335,CARJACKING WITH FIREARM,17X,2208 13TH AVE,Oakland,CA,POINT (-122.239343981 37.795070991)
OTHER,05/21/2024 01:30:00 PM,24-025151,CONTEMPT OF COURT:DISORDERLY/ETC BEHAVIOR,27Y,1915 57TH AV,Oakland,CA,POINT (-122.197791032 37.769087007)
ROBBERY,08/04/2024 09:36:00 PM,24-038844,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",07X,839 ISABELLA ST,Oakland,CA,POINT (-122.275744994 37.814513989)
,06/14/2024 09:42:00 AM,24-029580,VEHICLE THEFT - AUTO,07X,3415 CHESTNUT ST,Oakland,CA,POINT (-122.279385003 37.825622986)
BURG - RESIDENTIAL,05/30/2024 02:20:00 AM,24-026724,BURGLARY-NO FORCE,24Y,3615 PENNIMAN AV,Oakland,CA,POINT (-122.205890968 37.78887601)
,07/27/2024 07:00:00 PM,24-037679,VEHICLE THEFT - AUTO,03Y,716 JEFFERSON ST,Oakland,CA,POINT (-122.277651697 37.800990997)
,05/25/2024 04:30:00 AM,24-908636,GRAND THEFT,17Y,2700 PARK BOULEVARD,Oakland,CA,POINT (-122.241402996 37.802200009)
STOLEN VEHICLE,06/16/2024 07:30:00 PM,24-030051,VEHICLE THEFT - AUTO,07X,3222 LINDEN ST,Oakland,CA,POINT (-122.278425024 37.823750008)
,06/09/2024 09:15:00 AM,24-028454,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,1400 14TH AV,Oakland,CA,POINT (-122.245583973 37.789509011)
VANDALISM,06/15/2024 06:00:00 AM,24-029939,VANDALISM-$400+,14Y,859 VERMONT ST,Oakland,CA,POINT (-122.244057964 37.815063003)
,07/07/2024 09:00:00 PM,24-034616,VEHICLE THEFT - AUTO,30X,7700 HOLLY ST,Oakland,CA,POINT (-122.18037 37.760301012)
,06/24/2024 09:32:00 PM,24-909476,VANDALISM,,3883 TURQUOISE WAY,Oakland,CA,POINT (-122.26617898 37.82785802)
BURG - COMMERCIAL,07/31/2024 01:40:00 PM,24-038193,VANDALISM-$400+,08X,2255 TELEGRAPH AV,Oakland,CA,POINT (-122.268975164 37.812223523)
VANDALISM,05/29/2024 07:40:00 PM,24-026672,DISTURB THE PEACE,30X,6922 WELD ST,Oakland,CA,POINT (-122.183523021 37.764459987)
STOLEN VEHICLE,06/08/2024 12:00:00 PM,24-028452,VEHICLE THEFT - AUTO,32X,10836 SAN LEANDRO ST,Oakland,CA,POINT (-122.17222497 37.733800997)
CURFEW & LOITERING,06/30/2024 08:57:00 AM,24-032497,TRESPASS:OCCUPY PROPERTY W/O CONSENT,33X,1020 82ND AV,Oakland,CA,POINT (-122.184955991 37.752356016)
,06/13/2024 03:20:00 AM,24-910699,GRAND THEFT,11X,520 52ND ST,Oakland,CA,POINT (-122.262966029 37.838119021)
BURG - AUTO,05/15/2024 07:15:00 PM,24-907768,BURGLARY-AUTO,12X,527 49TH ST,Oakland,CA,POINT (-122.263887632 37.835860636)
,07/16/2024 11:00:00 PM,24-910530,BURGLARY-AUTO,08X,2775 TELEGRAPH AVE,Oakland,CA,POINT (-122.268019981 37.817159988)
,07/10/2024 12:25:00 PM,24-034442,DELIVER/ETC DRUG PARAPHERNALIA,27X,2554 / 2550 SEMINARY AVE,Oakland,CA,POINT (-122.190667599 37.771263572)
,06/04/2024 03:15:00 PM,24-027659,VEHICLE THEFT - AUTO,30X,8001 OLIVE ST,Oakland,CA,POINT (-122.173304276 37.760570706)
NARCOTICS,05/15/2024 10:30:00 AM,24-023933,TRANSPORT CIGARETTES/ETC WITHOUT PERMIT/ETC TO EVADE TAX,04X,682 14TH ST,Oakland,CA,POINT (-122.276449002 37.8064598)
ROBBERY,06/24/2024 11:30:00 AM,24-031333,CARJACKING WITH FIREARM,25X,3462 38TH AV,Oakland,CA,POINT (-122.199230959 37.789793996)
BURG - AUTO,05/23/2024 02:00:00 PM,24-908029,GRAND THEFT,10X,992 62ND ST,Oakland,CA,POINT (-122.279557684 37.84571577)
,06/04/2024 05:45:00 AM,24-027577,CARJACKING WITH FIREARM,17X,1700 BLOCK OF 9TH AVE,Oakland,CA,POINT (-122.24696326 37.795339973)
,07/16/2024 03:30:00 PM,24-911499,BURGLARY-AUTO,01X,288 3RD ST,Oakland,CA,POINT (-122.271626965 37.795334015)
BURG - COMMERCIAL,07/24/2024 06:33:00 AM,24-036795,BURGLARY-FORCIBLE ENTRY,09X,165 41ST ST,Oakland,CA,POINT (-122.25296097 37.826589)
,06/16/2024 01:42:00 PM,24-030116,GRAND THEFT,14X,58 VERNON STREET,Oakland,CA,POINT (-122.259886014 37.812357996)
STOLEN VEHICLE,07/17/2024 09:30:00 AM,24-035827,VEHICLE THEFT - AUTO,22X,3320 FRUITVALE AV,Oakland,CA,POINT (-122.215581034 37.798853995)
,07/12/2024 11:57:00 AM,24-034763,VEHICLE THEFT - AUTO,04X,388 19TH ST,Oakland,CA,POINT (-122.267482486 37.80724317)
,05/31/2024 02:24:00 PM,24-027015,BATTERY,11X,605 57TH ST,Oakland,CA,POINT (-122.26508204 37.842454979)
,07/20/2024 12:00:00 AM,24-038389,RAPE OF DRUGGED VICTIM,08X,2272 TELEGRAPH AVE,Oakland,CA,POINT (-122.26859104 37.812371993)
,06/24/2024 05:21:00 PM,24-031558,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,29X,6600 FOOTHILL BLVD,Oakland,CA,POINT (-122.181457971 37.770606981)
GRAND THEFT,07/30/2024 05:00:00 AM,24-911068,GRAND THEFT,21Y,3211 SCHOOL ST,Oakland,CA,POINT (-122.210055013 37.793333003)
FELONY ASSAULT,06/03/2024 12:30:00 AM,24-027383,ASSAULT WITH FIREARM ON PERSON,04X,1900 TELEGRAPH AV,Oakland,CA,POINT (-122.269861596 37.808094712)
,06/27/2024 09:04:00 PM,24-032097,CONSPIRACY:COMMIT CRIME,19X,1226 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.247347023 37.79045998)
VANDALISM,08/04/2024 12:30:00 PM,24-038797,VANDALISM:DAMAGE PROPERTY,30Y,7300 BANCROFT AV,Oakland,CA,POINT (-122.176787578 37.765883745)
,06/05/2024 12:05:00 PM,24-027818,VEHICLE THEFT - AUTO,32X,10000 E ST,Oakland,CA,POINT (-122.175200886 37.739584737)
STOLEN VEHICLE,07/15/2024 12:00:00 AM,24-035805,VEHICLE THEFT - AUTO,21Y,3295 SCHOOL ST,Oakland,CA,POINT (-122.208147041 37.792352991)
,07/10/2024 05:40:00 PM,24-910528,VANDALISM,08X,3466 BROADWAY,Oakland,CA,POINT (-122.259941098 37.822098553)
DOMESTIC VIOLENCE,06/19/2024 11:34:00 PM,24-030578,VANDALISM:DAMAGE PROPERTY,26Y,805 71ST AV,Oakland,CA,POINT (-122.196973042 37.7551)
STOLEN VEHICLE,06/30/2024 10:41:00 AM,24-032664,VEHICLE THEFT - AUTO,22X,3531 RHODA AV,Oakland,CA,POINT (-122.209631893 37.7990566)
ROBBERY,07/06/2024 03:30:00 PM,24-033741,ASSAULT WITH FIREARM ON PERSON,06X,3200 SAN PABLO AV,Oakland,CA,POINT (-122.277010949 37.822594831)
STOLEN VEHICLE,07/24/2024 01:51:00 PM,24-036868,VEHICLE THEFT - AUTO,18X,2200 E 17TH ST,Oakland,CA,POINT (-122.23518002 37.787187015)
,07/11/2024 11:30:00 PM,24-035025,POSS STOLEN VEH/VES/ETC,03Y,12TH ST AND JEFFERSON ST,Oakland,CA,POINT (-122.275635024 37.804347997)
,07/31/2024 02:41:00 PM,24-038180,VEHICLE THEFT - AUTO,19X,1500 23RD AVE,Oakland,CA,POINT (-122.23504919 37.784243423)
BURG - COMMERCIAL,07/15/2024 01:57:00 AM,24-035192,BURGLARY-FORCIBLE ENTRY,23X,4024 SAN LEANDRO ST,Oakland,CA,POINT (-122.219029014 37.771764019)
,06/01/2024 03:00:00 PM,24-028028,VEHICLE THEFT - AUTO,14X,428 EUCLID AVE,Oakland,CA,POINT (-122.251317027 37.80956502)
FELONY ASSAULT,05/18/2024 12:42:00 AM,24-024496,ASSAULT WITH FIREARM ON PERSON,17Y,1411 E 31ST ST,Oakland,CA,POINT (-122.231684012 37.798288007)
RECOVERED O/S STOLEN,06/22/2024 11:30:00 PM,24-031133,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,07/11/2024 09:02:00 AM,24-034561,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,315 9TH ST,Oakland,CA,POINT (-122.269983923 37.79950405)
WEAPONS,05/24/2024 01:47:00 PM,24-025636,VIOLATION OF PROBATION-FELONY,06X,900 BROCKHURST ST,Oakland,CA,POINT (-122.275159598 37.823174695)
NARCOTICS,07/14/2024 12:59:00 PM,24-035096,POSSESS CONTROLLED SUBSTANCE,19X,900 E 8TH ST,Oakland,CA,POINT (-122.2526477 37.790461242)
,06/03/2024 02:00:00 PM,24-027999,VEHICLE THEFT - AUTO,10Y,5200 ADELINE ST,Oakland,CA,POINT (-122.275506026 37.83676702)
DOMESTIC VIOLENCE,05/15/2024 04:00:00 PM,24-023880,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,23X,1428 35TH AV,Oakland,CA,POINT (-122.222289994 37.776651004)
,06/24/2024 07:05:00 PM,24-031576,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,34X,1400 85TH AV,Oakland,CA,POINT (-122.177098113 37.753677547)
FELONY ASSAULT,05/21/2024 04:43:00 PM,24-026356,SHOOT AT UNOCCUPIED AIRCRAFT,34X,2012 92ND AV,Oakland,CA,POINT (-122.166784025 37.751723015)
STOLEN VEHICLE,06/27/2024 07:00:00 PM,24-032372,VEHICLE THEFT - AUTO,77X,11050 APRICOT ST,Oakland,CA,POINT (-122.170175008 37.732482985)
,05/26/2024 01:15:00 PM,24-908717,BURGLARY-AUTO,,77 HAGENBERGER ROAD,Oakland,CA,POINT (-122.201436992 37.729265004)
,06/15/2024 07:35:00 PM,24-910041,VANDALISM,09X,240 W MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.256897028 37.823903019)
STOLEN VEHICLE,07/03/2024 05:00:00 PM,24-033263,VEHICLE THEFT - AUTO,04X,201 19TH ST,Oakland,CA,POINT (-122.263581009 37.80540001)
BURG - RESIDENTIAL,06/29/2024 04:26:00 PM,24-032284,BURGLARY-FORCIBLE ENTRY,09X,274 40TH STREET WY,Oakland,CA,POINT (-122.255832023 37.827603001)
,05/28/2024 04:41:00 AM,24-909748,GRAND THEFT,24Y,2811 MINNA AVE,Oakland,CA,POINT (-122.204408041 37.785394)
FELONY ASSAULT,05/28/2024 12:31:00 PM,24-026311,"VANDALISM [$1,000 TO UNDER $5,000] (AMENDED)",06X,33RD ST & MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.270195001 37.822675993)
MISDEMEANOR ASSAULT,07/11/2024 08:14:00 PM,24-034672,BATTERY,18Y,2139 E 24TH ST,Oakland,CA,POINT (-122.231251002 37.791857998)
,06/24/2024 07:05:00 PM,24-031576,POSSESS/PURCHASE COCAINE BASE FOR SALE,34X,1400 85TH AV,Oakland,CA,POINT (-122.177098113 37.753677547)
,07/26/2024 11:04:00 PM,24-037299,INFLICT CRPL INJ SP/COHAB,26X,1005 45TH AV,Oakland,CA,POINT (-122.215594026 37.769717997)
,06/13/2024 03:05:00 PM,24-029430,ATTEMPTED BURGLARY,31X,7727 OAKPORT ST,Oakland,CA,POINT (-122.201321214 37.745541042)
,06/21/2024 10:55:00 AM,24-030821,DISTURB THE PEACE,01X,10 CLAY ST,Oakland,CA,POINT (-122.282344989 37.794877998)
STOLEN VEHICLE,05/22/2024 04:00:00 PM,24-025462,VEHICLE THEFT - AUTO,20X,3088 E 15TH ST,Oakland,CA,POINT (-122.225969984 37.779363011)
DOMESTIC VIOLENCE,07/29/2024 11:30:00 AM,24-037855,EXHIBIT FIREARM,14X,465 BELLEVUE AV,Oakland,CA,POINT (-122.253097008 37.808020989)
NARCOTICS,05/24/2024 05:43:00 PM,24-025687,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,07X,2400 WOOD ST,Oakland,CA,POINT (-122.292034842 37.820432888)
,08/08/2024 11:12:00 PM,24-039647,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1127 76TH AV,Oakland,CA,POINT (-122.188791969 37.755721015)
,06/17/2024 01:40:00 PM,24-910807,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22X,3936 FRUITVALE AVE,Oakland,CA,POINT (-122.211773974 37.805589986)
OTHER SEX OFFENSES,05/17/2024 12:30:00 PM,24-024428,SEXUAL BATTERY,04X,21ST ST & SAN PABLO AV,Oakland,CA,POINT (-122.27343402 37.810866017)
,07/16/2024 10:20:00 PM,24-035593,ROBBERY-FIREARM,03X,11TH ST AND WEBSTER ST,Oakland,CA,POINT (-122.270082013 37.801310982)
RECOVERED O/S STOLEN,07/26/2024 05:28:00 AM,24-037157,VEHICLE THEFT - AUTO,35X,2500 94TH AV,Oakland,CA,POINT (-122.160738379 37.752653642)
STOLEN VEHICLE,05/16/2024 05:30:00 PM,24-024184,VEHICLE THEFT - AUTO,25X,4425 CARSON ST,Oakland,CA,POINT (-122.183585969 37.792637012)
PETTY THEFT,05/21/2024 12:00:00 AM,24-025009,THEFT,19X,1300 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.246801025 37.789953001)
ROBBERY,06/29/2024 10:30:00 AM,24-032616,DAMAGE/ETC PROPERTY TO VIOLATE CIVIL RIGHTS,12X,4920 TELEGRAPH AV,Oakland,CA,POINT (-122.262217022 37.836199984)
,07/24/2024 10:07:00 AM,24-036841,VEHICLE THEFT - AUTO,23X,1715 HIGH ST.,Oakland,CA,POINT (-122.213077025 37.774095991)
BURG - AUTO,07/25/2024 03:05:00 PM,24-910950,BURGLARY-AUTO,12Y,5686 OAK GROVE AV,Oakland,CA,POINT (-122.253230029 37.845481014)
,07/30/2024 07:50:00 PM,24-911315,BURGLARY-AUTO,12X,4720 SHATTUCK AVE,Oakland,CA,POINT (-122.263402977 37.834791992)
STOLEN VEHICLE,08/03/2024 03:00:00 AM,24-038669,VEHICLE THEFT - AUTO,23X,1011 39TH AV,Oakland,CA,POINT (-122.220832967 37.772778984)
,06/09/2024 09:25:00 AM,24-909022,THEFT,,210 40TH STREET 40TH STREET WAY,Oakland,CA,POINT (-122.25559417 37.826951689)
,06/11/2024 09:45:00 AM,24-911766,BURGLARY-NO FORCE,12Y,5110 TELEGRAPH AVE,Oakland,CA,POINT (-122.261943017 37.837435979)
PETTY THEFT,07/12/2024 11:30:00 PM,24-035171,THEFT,08X,3918 WEBSTER ST,Oakland,CA,POINT (-122.260971464 37.827768399)
MISDEMEANOR ASSAULT,05/17/2024 11:04:00 AM,24-024552,BATTERY,27X,46TH AV & BOND ST,Oakland,CA,POINT (-122.21011201 37.772904)
,07/07/2024 06:30:00 PM,24-909952,BURGLARY-AUTO,01X,2 BROADWAY,Oakland,CA,POINT (-122.277064325 37.794762052)
,05/22/2024 12:43:00 PM,24-909299,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,31Z,701 105TH AVE,Oakland,CA,POINT (-122.17793204 37.734179985)
DOMESTIC VIOLENCE,06/13/2024 08:11:00 AM,24-029331,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,1201 65TH AV,Oakland,CA,POINT (-122.197091757 37.761127348)
,06/14/2024 02:42:00 AM,24-909575,GRAND THEFT,10X,973 63RD ST,Oakland,CA,POINT (-122.278879994 37.846668981)
STOLEN VEHICLE,07/21/2024 12:00:00 AM,24-036609,VEHICLE THEFT - AUTO,35Y,281 SEQUOYAH VIEW DR,Oakland,CA,POINT (-122.141030041 37.759264003)
STOLEN VEHICLE,07/05/2024 12:36:00 PM,24-033421,VEHICLE THEFT - AUTO,07X,34TH ST AND LINDEN ST,Oakland,CA,POINT (-122.278268031 37.825026991)
,07/10/2024 01:25:00 PM,24-911036,BURGLARY-AUTO,22X,3525 DIMOND AVE,Oakland,CA,POINT (-122.217560002 37.801391994)
,06/27/2024 07:15:00 AM,24-032737,CRUELTY TO ELDER/DEPENDANT ADULT:GBI/DEATH LIKELY,15X,2137 PARK BLVD,Oakland,CA,POINT (-122.247699984 37.801093011)
THREATS,06/13/2024 12:04:00 PM,24-029406,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30X,1831 73RD AV,Oakland,CA,POINT (-122.183551832 37.76169693)
STOLEN VEHICLE,06/18/2024 10:00:00 AM,24-030624,VEHICLE THEFT - AUTO,33X,8820 D ST,Oakland,CA,POINT (-122.180098008 37.748532988)
